Empresa;Número do Documento;Ano Fiscal;Data do Documento;Tipo de Documento;Número do Item;Tipo de Conta;Conta Contábil;Valor em Moeda Local;Valor em Moeda Estrangeira;Código do Fornecedor;Nome do Fornecedor;Cidade do Fornecedor;País do Fornecedor;Grupo de Contas do Fornecedor
1000;123456;2024;22/09/2024;PF;1;F;400000;1000.00;1000.00;2000;Fornecedor A;São Paulo;BR;1
1000;123456;2024;22/09/2024;PF;2;F;400000;2000.00;2000.00;2000;Fornecedor A;São Paulo;BR;1
1000;123457;2024;22/09/2024;PF;1;F;400000;1500.00;1500.00;2001;Fornecedor B;Rio;BR;1
1000;123458;2024;22/09/2024;PF;1;F;400000;2500.00;2500.00;2002;Fornecedor C;Brasília;BR;2
1000;123459;2024;22/09/2024;PF;1;F;400000;3000.00;3000.00;2003;Fornecedor D;Salvador;BR;3
1000;123460;2024;22/09/2024;PF;1;F;400000;2500.00;2500.00;2004;Fornecedor E;Fortaleza;BR;3
1000;123461;2024;22/09/2024;PF;1;F;400000;1850.00;1850.00;2005;Fornecedor F;Belo Horizonte;BR;1
1000;123462;2024;22/09/2024;PF;1;F;400000;2500.00;2500.00;2006;Fornecedor G;Curitiba;BR;1
1000;123463;2024;22/09/2024;PF;1;F;400000;3500.00;3500.00;2007;Fornecedor H;Manaus;BR;4
1000;123464;2024;22/09/2024;PF;1;F;400000;1500.00;1500.00;2008;Fornecedor I;Recife;BR;3
2000;123464;2024;22/09/2024;PF;2;F;400000;2554.00;2554.00;2006;Fornecedor G;Curitiba;BR;1
1000;123464;2024;22/09/2024;PF;3;F;400000;2919.00;2919.00;2003;Fornecedor D;Salvador;BR;3
1000;123465;2024;21/09/2024;PF;1;F;400000;3208.00;3208.00;2003;Fornecedor D;Salvador;BR;3
1000;123466;2024;21/09/2024;PF;1;F;400000;4616.00;4616.00;2008;Fornecedor I;Recife;BR;3
1000;123467;2024;21/09/2024;PF;1;F;400000;3957.00;3957.00;2003;Fornecedor D;Salvador;BR;3
2000;123468;2024;21/09/2024;PF;1;F;400000;1004.00;1004.00;2004;Fornecedor E;Fortaleza;BR;3
1000;123468;2024;20/09/2024;PF;2;F;400000;1385.00;1385.00;2002;Fornecedor C;Brasília;BR;2
2000;123469;2024;20/09/2024;PF;1;F;400000;4895.00;4895.00;2003;Fornecedor D;Salvador;BR;3
1000;123469;2024;20/09/2024;PF;2;F;400000;2239.00;2239.00;2003;Fornecedor D;Salvador;BR;3
1000;123470;2024;20/09/2024;PF;1;F;400000;1593.00;1593.00;2005;Fornecedor F;Belo Horizonte;BR;1
1000;123470;2024;20/09/2024;PF;2;F;400000;5030.00;5030.00;2000;Fornecedor A;São Paulo;BR;1
1000;123471;2024;20/09/2024;PF;1;F;400000;4566.00;4566.00;2005;Fornecedor F;Belo Horizonte;BR;1
1000;123472;2024;20/09/2024;PF;1;F;400000;3535.00;3535.00;2001;Fornecedor B;Rio;BR;1
1000;123472;2024;19/09/2024;PF;2;F;400000;1844.00;1844.00;2008;Fornecedor I;Recife;BR;3
1000;123473;2024;19/09/2024;PF;1;F;400000;4954.00;4954.00;2002;Fornecedor C;Brasília;BR;2
1000;123474;2024;19/09/2024;PF;1;F;400000;4598.00;4598.00;2008;Fornecedor I;Recife;BR;3
1000;123474;2024;18/09/2024;PF;2;F;400000;2598.00;2598.00;2003;Fornecedor D;Salvador;BR;3
2000;123474;2024;18/09/2024;PF;3;F;400000;2692.00;2692.00;2006;Fornecedor G;Curitiba;BR;1
1000;123475;2024;17/09/2024;PF;1;F;400000;4732.00;4732.00;2004;Fornecedor E;Fortaleza;BR;3
1000;123475;2024;17/09/2024;PF;2;F;400000;1805.00;1805.00;2002;Fornecedor C;Brasília;BR;2
1000;123476;2024;17/09/2024;PF;1;F;400000;3701.00;3701.00;2003;Fornecedor D;Salvador;BR;3
1000;123477;2024;16/09/2024;PF;1;F;400000;3838.00;3838.00;2008;Fornecedor I;Recife;BR;3
1000;123478;2024;16/09/2024;PF;1;F;400000;3722.00;3722.00;2003;Fornecedor D;Salvador;BR;3
1000;123478;2024;16/09/2024;PF;2;F;400000;1368.00;1368.00;2007;Fornecedor H;Manaus;BR;4
1000;123478;2024;16/09/2024;PF;3;F;400000;2087.00;2087.00;2001;Fornecedor B;Rio;BR;1
1000;123478;2024;15/09/2024;PF;4;F;400000;5110.00;5110.00;2008;Fornecedor I;Recife;BR;3
1000;123479;2024;15/09/2024;PF;1;F;400000;3797.00;3797.00;2001;Fornecedor B;Rio;BR;1
1000;123480;2024;15/09/2024;PF;1;F;400000;4105.00;4105.00;2002;Fornecedor C;Brasília;BR;2
1000;123481;2024;14/09/2024;PF;1;F;400000;4053.00;4053.00;2002;Fornecedor C;Brasília;BR;2
2000;123482;2024;14/09/2024;PF;1;F;400000;2185.00;2185.00;2005;Fornecedor F;Belo Horizonte;BR;1
1000;123483;2024;14/09/2024;PF;1;F;400000;3817.00;3817.00;2006;Fornecedor G;Curitiba;BR;1
1000;123484;2024;14/09/2024;PF;1;F;400000;4952.00;4952.00;2005;Fornecedor F;Belo Horizonte;BR;1
2000;123485;2024;14/09/2024;PF;1;F;400000;3288.00;3288.00;2008;Fornecedor I;Recife;BR;3
1000;123485;2024;13/09/2024;PF;2;F;400000;2444.00;2444.00;2003;Fornecedor D;Salvador;BR;3
1000;123485;2024;13/09/2024;PF;3;F;400000;1607.00;1607.00;2005;Fornecedor F;Belo Horizonte;BR;1
1000;123485;2024;12/09/2024;PF;4;F;400000;5211.00;5211.00;2006;Fornecedor G;Curitiba;BR;1
1000;123485;2024;12/09/2024;PF;5;F;400000;4227.00;4227.00;2001;Fornecedor B;Rio;BR;1
1000;123486;2024;12/09/2024;PF;1;F;400000;4934.00;4934.00;2000;Fornecedor A;São Paulo;BR;1
