Empresa;Número do Documento;Ano Fiscal;Data do Documento;Tipo de Documento;Número do Item;Material;Vendedor;Quantidade; Valor em Moeda Local ; Valor em Moeda Estrangeira 
1000;183456;2023;31/12/2023;VF;1;PR001;VD026;27; R$ 1.957,23 ; R$ 1.957,23 
1000;183456;2023;31/12/2023;VF;2;PR058;VD037;14; R$ 2.872,80 ; R$ 2.872,80 
1000;183457;2023;31/12/2023;VF;1;PR020;VD034;20; R$ 7.137,62 ; R$ 7.137,62 
1000;183458;2023;31/12/2023;VF;1;PR035;VD021;24; R$ 2.478,77 ; R$ 2.478,77 
1000;183459;2023;31/12/2023;VF;1;PR016;VD027;10; R$ 303,03 ; R$ 303,03 
1000;183460;2023;31/12/2023;VF;1;PR051;VD048;18; R$ 704,72 ; R$ 704,72 
1000;183461;2023;31/12/2023;VF;1;PR042;VD025;27; R$ 1.778,76 ; R$ 1.778,76 
1000;183462;2023;31/12/2023;VF;1;PR050;VD037;14; R$ 511,27 ; R$ 511,27 
1000;183463;2023;31/12/2023;VF;1;PR001;VD036;12; R$ 901,51 ; R$ 901,51 
1000;183464;2023;31/12/2023;VF;1;PR059;VD049;27; R$ 5.783,40 ; R$ 5.783,40 
1000;183465;2023;31/12/2023;VF;1;PR019;VD021;15; R$ 845,81 ; R$ 845,81 
1000;183466;2023;31/12/2023;VF;1;PR055;VD015;18; R$ 1.844,75 ; R$ 1.844,75 
1000;183466;2023;31/12/2023;VF;2;PR052;VD012;16; R$ 950,10 ; R$ 950,10 
1000;183466;2023;31/12/2023;VF;3;PR052;VD043;9; R$ 511,97 ; R$ 511,97 
1000;183467;2023;30/12/2023;VF;1;PR014;VD020;9; R$ 420,15 ; R$ 420,15 
1000;183468;2023;30/12/2023;VF;1;PR055;VD019;9; R$ 890,01 ; R$ 890,01 
1000;183469;2023;30/12/2023;VF;1;PR045;VD041;14; R$ 1.157,10 ; R$ 1.157,10 
1000;183470;2023;30/12/2023;VF;1;PR053;VD013;9; R$ 511,97 ; R$ 511,97 
1000;183471;2023;30/12/2023;VF;1;PR054;VD028;9; R$ 538,92 ; R$ 538,92 
2000;183472;2023;30/12/2023;VF;1;PR020;VD047;27; R$ 8.907,03 ; R$ 8.907,03 
1000;183472;2023;30/12/2023;VF;2;PR047;VD017;12; R$ 4.174,56 ; R$ 4.174,56 
2000;183473;2023;30/12/2023;VF;1;PR047;VD040;15; R$ 4.826,84 ; R$ 4.826,84 
1000;183474;2023;30/12/2023;VF;1;PR003;VD033;8; R$ 629,59 ; R$ 629,59 
1000;183475;2023;30/12/2023;VF;1;PR058;VD014;21; R$ 4.536,00 ; R$ 4.536,00 
